name,exec_time
Random4-n.10.0.ss.res,0.301477
Random4-n.11.0.ss.res,0.601572
Random4-n.12.0.ss.res,1.84295
Random4-n.13.0.ss.res,2.8058
Random4-n.14.0.ss.res,6.55299
Random4-n.15.0.ss.res,15.3641
Random4-n.16.0.ss.res,38.1473
Random4-n.17.0.ss.res,87.8894
Random4-n.18.0.ss.res,193.797
Random4-n.19.0.ss.res,427.793
Random4-n.20.0.ss.res,963.733
Random4-n.21.0.ss.res,2155.92
Square-C.0.0.ss.res,332.275
Square-C.1.0.ss.res,328.883
Square-C.10.0.ss.res,349.5908
Square-C.11.0.ss.res,339.118
Square-C.12.0.ss.res,349.7615
Square-C.13.0.ss.res,338.341
Square-C.14.0.ss.res,343.4213
Square-C.15.0.ss.res,352.5126
Square-C.2.0.ss.res,315.233
Square-C.3.0.ss.res,314.445
Square-C.4.0.ss.res,316.833
Square-C.5.0.ss.res,329.816
Square-C.6.0.ss.res,353.208
Square-C.7.0.ss.res,395.277
Square-C.8.0.ss.res,328.822
Square-C.9.0.ss.res,337.6074
Square-n.10.0.ss.res,0.309343
Square-n.11.0.ss.res,0.619866
Square-n.12.0.ss.res,1.57431
Square-n.13.0.ss.res,3.24143
Square-n.14.0.ss.res,8.30294
Square-n.15.0.ss.res,20.0387
Square-n.16.0.ss.res,52.3213
Square-n.17.0.ss.res,139.201
Square-n.18.0.ss.res,386.68
Square-n.19.0.ss.res,1021.14
Square-n.20.0.ss.res,2609.16
Square-n.21.0.ss.res,6869.28
USA-road-t.BAY.ss.res,137.412
