name,exec_time
Random4-n.10.0.ss.res,0.51586
Random4-n.11.0.ss.res,1.07921
Random4-n.12.0.ss.res,2.2601
Random4-n.13.0.ss.res,4.77187
Random4-n.14.0.ss.res,10.3217
Random4-n.15.0.ss.res,22.1162
Random4-n.16.0.ss.res,49.8495
Random4-n.17.0.ss.res,105.496
Random4-n.18.0.ss.res,225.801
Random4-n.19.0.ss.res,490.986
Random4-n.20.0.ss.res,1100.29
Random4-n.21.0.ss.res,2507.66
Square-C.0.0.ss.res,919.768
Square-C.1.0.ss.res,761.436
Square-C.10.0.ss.res,832.359
Square-C.11.0.ss.res,827.117
Square-C.12.0.ss.res,826.664
Square-C.13.0.ss.res,825.314
Square-C.14.0.ss.res,829.114
Square-C.15.0.ss.res,827.322
Square-C.2.0.ss.res,797.205
Square-C.3.0.ss.res,818.714
Square-C.4.0.ss.res,820.112
Square-C.5.0.ss.res,824.974
Square-C.6.0.ss.res,826.932
Square-C.7.0.ss.res,822.91
Square-C.8.0.ss.res,822.056
Square-C.9.0.ss.res,822.388
Square-n.10.0.ss.res,0.422004
Square-n.11.0.ss.res,0.856544
Square-n.12.0.ss.res,1.78313
Square-n.13.0.ss.res,3.69054
Square-n.14.0.ss.res,7.86914
Square-n.15.0.ss.res,16.6429
Square-n.16.0.ss.res,38.1783
Square-n.17.0.ss.res,85.2113
Square-n.18.0.ss.res,179.805
Square-n.19.0.ss.res,387.409
Square-n.20.0.ss.res,823.016
Square-n.21.0.ss.res,1732.36
USA-road-t.BAY.ss.res,143.659
