name,exec_time
Random4-n.10.0.ss.res,0.539057
Random4-n.11.0.ss.res,1.02315
Random4-n.12.0.ss.res,2.02922
Random4-n.13.0.ss.res,4.14135
Random4-n.14.0.ss.res,8.56108
Random4-n.15.0.ss.res,17.7823
Random4-n.16.0.ss.res,37.2471
Random4-n.17.0.ss.res,78.9914
Random4-n.18.0.ss.res,169.554
Random4-n.19.0.ss.res,364.616
Random4-n.20.0.ss.res,786.03
Random4-n.21.0.ss.res,1694.33
Square-C.0.0.ss.res,394.02
Square-C.1.0.ss.res,369.191
Square-C.10.0.ss.res,912.801
Square-C.11.0.ss.res,941.034
Square-C.12.0.ss.res,951.798
Square-C.13.0.ss.res,953.803
Square-C.14.0.ss.res,972.782
Square-C.15.0.ss.res,990.563
Square-C.2.0.ss.res,380.576
Square-C.3.0.ss.res,406.128
Square-C.4.0.ss.res,444.343
Square-C.5.0.ss.res,530.881
Square-C.6.0.ss.res,671.96
Square-C.7.0.ss.res,798.644
Square-C.8.0.ss.res,852.932
Square-C.9.0.ss.res,884.634
Square-n.10.0.ss.res,0.603786
Square-n.11.0.ss.res,1.15728
Square-n.12.0.ss.res,2.38151
Square-n.13.0.ss.res,4.81928
Square-n.14.0.ss.res,10.0082
Square-n.15.0.ss.res,20.4864
Square-n.16.0.ss.res,42.7408
Square-n.17.0.ss.res,91.4984
Square-n.18.0.ss.res,199.217
Square-n.19.0.ss.res,465.726
Square-n.20.0.ss.res,939.88
Square-n.21.0.ss.res,1891.36
USA-road-t.BAY.ss.res,165.963
